Median of three runs; each run uses seven calibrated samples. Times in ns/op.
Operation                                Before        After    Change
parse/webpack                               871          857     -1.6%
parse/metro-hermes                        24696        24435     -1.1%
parse/r8                                   2662         2701     +1.5%
apply/webpack                               341          302    -11.4%
apply/r8-inline-outline-rewrite            1130         1157     +2.4%
apply/react-native-hermes                   756          722     -4.5%
apply/r8-long-trace                       70574        71306     +1.0%
apply/js-long-trace                       20257        18848     -7.0%
apply/js-missing-map                      53892        42726    -20.7%
apply/js-unmapped-68k                     44954        44434     -1.2%
apply/jvm-unmapped-68k                    90079        93870     +4.2%
apply/jvm-10-ranges                         145          153     +5.5%
apply/jvm-1000-ranges                       171          169     -1.2%
parse/jvm-10000-ranges                   968072       858664    -11.3%
apply/jvm-10000-ranges                      190          186     -2.1%
apply/jvm-10-methods                        140          139     -0.7%
apply/jvm-1000-methods                      140          139     -0.7%
apply/jvm-10000-methods                     141          144     +2.1%
parse/jvm-10000-methods                 1318474      1387408     +5.2%
apply/jvm-no-line-10000-ranges            21310          124    -99.4%
apply/js-10-sections                        104           88    -15.4%
apply/js-1000-sections                      122          102    -16.4%
parse/js-1000-sources                     77425        54855    -29.2%
